"Borderou de Vanzare (Incasare)
In intervalul 01.12.2025 - 31.12.2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Nr. Crt,Documentul,,,Explicatii,Vanzari (Incasari),,,,,,,,,,,,,,,,
,Denumire,Nr. Doc(Z),Data,,Total Valoare,Scutit cu drept de reducere,Scutit fara drept de reducere,Taxabile,,0.21,Taxabile,,0.11,Nefolosit,,Nefolosit,,Netaxabil,,,0.0
,,,,,,,,Baza Impozitare,,Val. TVA,Baza Impozitare,Val. TVA,,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,,
1,Z POS,1622,2025-12-01 00:00:00,Z emis la POS nr.14 inchiderea 9828,4769.16,0,0,869.88,182.68,,3321.26,365.34,,0,0,0,0,30,0,,
2,Z POS,771,2025-12-01 00:00:00,Z emis la POS nr.12 inchiderea 9827,16344.47,0,0,10919.97,2293.19,,2702.53,297.28,,0,0,0,0,131.5,0,,
3,Z POS,1623,2025-12-02 00:00:00,Z emis la POS nr.14 inchiderea 9830,4658.09,0,0,764.43,160.53,,3339.76,367.37,,0,0,0,0,26,0,,
4,Z POS,772,2025-12-02 00:00:00,Z emis la POS nr.12 inchiderea 9829,16337.58,0,0,10840.55,2276.52,,2771.18,304.83,,0,0,0,0,144.5,0,,
5,Z POS,1624,2025-12-03 00:00:00,Z emis la POS nr.14 inchiderea 9832,4195.63,0,0,839.45,176.29,,2843.14,312.75,,0,0,0,0,24,0,,
6,Z POS,773,2025-12-03 00:00:00,Z emis la POS nr.12 inchiderea 9831,16213.15,0,0,10485.06,2201.86,,3020.93,332.3,,0,0,0,0,173,0,,
7,Z POS,1625,2025-12-04 00:00:00,Z emis la POS nr.14 inchiderea 9834,5887.77,0,0,759.77,159.55,,4453.56,489.89,,0,0,0,0,25,0,,
8,Z POS,774,2025-12-04 00:00:00,Z emis la POS nr.12 inchiderea 9833,16691.71,0,0,10831.9,2274.7,,3088.84,339.77,,0,0,0,0,156.5,0,,
9,Z POS,1626,2025-12-05 00:00:00,Z emis la POS nr.14 inchiderea 9836,5004.9,0,0,1272.64,267.25,,3080.64,338.87,,0,0,0,0,45.5,0,,
10,Z POS,775,2025-12-05 00:00:00,Z emis la POS nr.12 inchiderea 9835,22849.3,0,0,15420.69,3238.35,,3615.55,397.71,,0,0,0,0,177,0,,
