"Borderou de Vanzare (Incasare)
In intervalul 01.12.2025 - 31.12.2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
11,Z POS,1627,2025-12-06 00:00:00,Z emis la POS nr.14 inchiderea 9838,4745.43,0,0,1284.68,269.78,,2846.37,313.1,,0,0,0,0,31.5,0,,
12,Z POS,776,2025-12-06 00:00:00,Z emis la POS nr.12 inchiderea 9837,18848.6,0,0,12933.28,2715.99,,2761.11,303.72,,0,0,0,0,134.5,0,,
13,Z POS,1628,2025-12-07 00:00:00,Z emis la POS nr.14 inchiderea 9840,3061.14,0,0,346.38,72.74,,2365.78,260.24,,0,0,0,0,16,0,,
14,Z POS,777,2025-12-07 00:00:00,Z emis la POS nr.12 inchiderea 9839,11341.62,0,0,7464.2,1567.48,,2000.4,220.04,,0,0,0,0,89.5,0,,
15,Z POS,1629,2025-12-08 00:00:00,Z emis la POS nr.14 inchiderea 9842,4375.61,0,0,542.2,113.86,,3326.17,365.88,,0,0,0,0,27.5,0,,
16,Z POS,778,2025-12-08 00:00:00,Z emis la POS nr.12 inchiderea 9841,17057.84,0,0,11010.91,2312.29,,3208.68,352.96,,0,0,0,0,173,0,,
17,Z POS,1630,2025-12-09 00:00:00,Z emis la POS nr.14 inchiderea 9844,4164.85,0,0,583.19,122.47,,3095.67,340.52,,0,0,0,0,23,0,,
18,Z POS,779,2025-12-09 00:00:00,Z emis la POS nr.12 inchiderea 9843,16133.69,0,0,10515.96,2208.35,,2922.86,321.52,,0,0,0,0,165,0,,
19,Z POS,1631,2025-12-10 00:00:00,Z emis la POS nr.14 inchiderea 9846,4883.64,0,0,724.98,152.24,,3568.85,392.57,,0,0,0,0,45,0,,
20,Z POS,780,2025-12-10 00:00:00,Z emis la POS nr.12 inchiderea 9845,19433.96,0,0,13221.34,2776.48,,2931.66,322.48,,0,0,0,0,182,0,,
21,Z POS,1632,2025-12-11 00:00:00,Z emis la POS nr.14 inchiderea 9849,4929.29,0,0,690.54,145.01,,3653.37,401.87,,0,0,0,0,38.5,0,,
22,Z POS,781,2025-12-11 00:00:00,Z emis la POS nr.12 inchiderea 9847,18533.22,0,0,12275.85,2577.93,,3157.6,347.34,,0,0,0,0,174.5,0,,
23,Z POS,1633,2025-12-12 00:00:00,Z emis la POS nr.14 inchiderea 9850,6381.25,0,0,1327.23,278.72,,4271.44,469.86,,0,0,0,0,34,0,,
24,Z POS,782,2025-12-12 00:00:00,Z emis la POS nr.12 inchiderea 9848,22047.28,0,0,14745.37,3096.53,,3592.68,395.2,,0,0,0,0,217.5,0,,
25,Z POS,1634,2025-12-13 00:00:00,Z emis la POS nr.14 inchiderea 9852,6032.13,0,0,1597.3,335.43,,3658.47,402.43,,0,0,0,0,38.5,0,,
26,Z POS,783,2025-12-13 00:00:00,Z emis la POS nr.12 inchiderea 9851,18147.66,0,0,11230.45,2358.39,,3941.28,433.54,,0,0,0,0,184,0,,
27,Z POS,1635,2025-12-14 00:00:00,Z emis la POS nr.14 inchiderea 9854,3450.39,0,0,586.03,123.07,,2453.86,269.93,,0,0,0,0,17.5,0,,
28,Z POS,784,2025-12-14 00:00:00,Z emis la POS nr.12 inchiderea 9853,15419.1,0,0,9836.74,2065.71,,3044.73,334.92,,0,0,0,0,137,0,,
29,Z POS,1636,2025-12-15 00:00:00,Z emis la POS nr.14 inchiderea 9856,4639.21,0,0,676.64,142.1,,3415.29,375.68,,0,0,0,0,29.5,0,,
30,Z POS,785,2025-12-15 00:00:00,Z emis la POS nr.12 inchiderea 9855,20291.88,0,0,12501.29,2625.27,,4452.99,489.83,,0,0,0,0,222.5,0,,
31,Z POS,1637,2025-12-16 00:00:00,Z emis la POS nr.14 inchiderea 9858,5650.87,0,0,793.89,166.72,,4204.74,462.52,,0,0,0,0,23,0,,
32,Z POS,786,2025-12-16 00:00:00,Z emis la POS nr.12 inchiderea 9857,19336.18,0,0,13152.76,2762.08,,2896.7,318.64,,0,0,0,0,206,0,,
33,Z POS,1638,2025-12-17 00:00:00,Z emis la POS nr.14 inchiderea 9860,5654.99,0,0,748.7,157.23,,4258.16,468.4,,0,0,0,0,22.5,0,,
34,Z POS,787,2025-12-17 00:00:00,Z emis la POS nr.12 inchiderea 9859,19461.38,0,0,12466.08,2617.88,,3781.46,415.96,,0,0,0,0,180,0,,
35,Z POS,1639,2025-12-18 00:00:00,Z emis la POS nr.14 inchiderea 9862,5310.35,0,0,816.69,171.5,,3864.11,425.05,,0,0,0,0,33,0,,
36,Z POS,788,2025-12-18 00:00:00,Z emis la POS nr.12 inchiderea 9861,19067.96,0,0,12915.2,2712.19,,2915.38,320.69,,0,0,0,0,204.5,0,,
37,Z POS,1640,2025-12-19 00:00:00,Z emis la POS nr.14 inchiderea 9864,5865.58,0,0,1072.51,225.23,,4085.89,449.45,,0,0,0,0,32.5,0,,
38,Z POS,789,2025-12-19 00:00:00,Z emis la POS nr.12 inchiderea 9863,20526.7,0,0,13347.74,2803.03,,3732.82,410.61,,0,0,0,0,232.5,0,,
39,Z POS,1641,2025-12-20 00:00:00,Z emis la POS nr.14 inchiderea 9866,6017.99,0,0,982.55,206.34,,4327.57,476.03,,0,0,0,0,25.5,0,,
40,Z POS,790,2025-12-20 00:00:00,Z emis la POS nr.12 inchiderea 9865,18944.95,0,0,12098.12,2540.6,,3716.42,408.81,,0,0,0,0,181,0,,
41,Z POS,1642,2025-12-21 00:00:00,Z emis la POS nr.14 inchiderea 9868,4321.35,0,0,612.71,128.67,,3206.28,352.69,,0,0,0,0,21,0,,
42,Z POS,791,2025-12-21 00:00:00,Z emis la POS nr.12 inchiderea 9867,16207.85,0,0,9595.93,2015.14,,4016.47,441.81,,0,0,0,0,138.5,0,,
43,Z POS,1643,2025-12-22 00:00:00,Z emis la POS nr.14 inchiderea 9870,7196.8,0,0,928.6,195.0,,5443.42,598.78,,0,0,0,0,31,0,,
44,Z POS,792,2025-12-22 00:00:00,Z emis la POS nr.12 inchiderea 9869,22831.51,0,0,14291.39,3001.19,,4803.99,528.44,,0,0,0,0,206.5,0,,
45,Z POS,1644,2025-12-23 00:00:00,Z emis la POS nr.14 inchiderea 9872,7653.57,0,0,829.7,174.24,,5976.24,657.39,,0,0,0,0,16,0,,
46,Z POS,793,2025-12-23 00:00:00,Z emis la POS nr.12 inchiderea 9871,24805.02,0,0,15269.2,3206.53,,5530.89,608.4,,0,0,0,0,190,0,,
47,Z POS,1645,2025-12-24 00:00:00,Z emis la POS nr.14 inchiderea 9874,10711.11,0,0,1989.17,417.72,,7451.1,819.62,,0,0,0,0,33.5,0,,
48,Z POS,794,2025-12-24 00:00:00,Z emis la POS nr.12 inchiderea 9873,29527.72,0,0,18459.93,3876.58,,6266.86,689.35,,0,0,0,0,235,0,,
49,Z POS,1646,2025-12-26 00:00:00,Z emis la POS nr.14 inchiderea 9876,3336.17,0,0,815.76,171.31,,2098.74,230.86,,0,0,0,0,19.5,0,,
50,Z POS,795,2025-12-26 00:00:00,Z emis la POS nr.12 inchiderea 9875,12852.62,0,0,8335.08,1750.37,,2391.59,263.08,,0,0,0,0,112.5,0,,
51,Z POS,1647,2025-12-27 00:00:00,Z emis la POS nr.14 inchiderea 9878,3458.23,0,0,815.18,171.19,,2202.58,242.28,,0,0,0,0,27,0,,
52,Z POS,796,2025-12-27 00:00:00,Z emis la POS nr.12 inchiderea 9877,16818.3,0,0,11108.36,2332.76,,2934.4,322.78,,0,0,0,0,120,0,,
53,Z POS,1648,2025-12-28 00:00:00,Z emis la POS nr.14 inchiderea 9880,2453.36,0,0,473.17,99.36,,1686.78,185.55,,0,0,0,0,8.5,0,,
54,Z POS,797,2025-12-28 00:00:00,Z emis la POS nr.12 inchiderea 9879,12739.01,0,0,8021.28,1684.47,,2640.77,290.49,,0,0,0,0,102,0,,
55,Z POS,1649,2025-12-29 00:00:00,Z emis la POS nr.14 inchiderea 9882,4313.37,0,0,878.15,184.41,,2914.24,320.57,,0,0,0,0,16,0,,
56,Z POS,798,2025-12-29 00:00:00,Z emis la POS nr.12 inchiderea 9881,16302.71,0,0,10038.08,2108.0,,3649.22,401.41,,0,0,0,0,106,0,,
57,Z POS,1650,2025-12-30 00:00:00,Z emis la POS nr.14 inchiderea 9884,9510.55,0,0,1597.57,335.49,,6810.8,749.19,,0,0,0,0,17.5,0,,
58,Z POS,799,2025-12-30 00:00:00,Z emis la POS nr.12 inchiderea 9883,27584.53,0,0,16969.52,3563.6,,6195.41,681.5,,0,0,0,0,174.5,0,,
59,Z POS,1651,2025-12-31 00:00:00,Z emis la POS nr.14 inchiderea 9886,7906.32,0,0,2114.41,444.03,,4769.71,524.67,,0,0,0,0,53.5,0,,
60,Z POS,800,2025-12-31 00:00:00,Z emis la POS nr.12 inchiderea 9885,27704.85,0,0,18643.98,3915.24,,4444.26,488.87,,0,0,0,0,212.5,0,,
