"Borderou de Vanzare (Incasare)
In intervalul 01.08.2025 - 31.08.2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Nr. Crt,Documentul,,,Explicatii,Vanzari (Incasari),,,,,,,,,,,,,,,,
,Denumire,Nr. Doc(Z),Data,,Total Valoare,Scutit cu drept de reducere,Scutit fara drept de reducere,Taxabile,,0.21,Taxabile,,0.11,Nefolosit,,Nefolosit,,Netaxabil,,,0.0
,,,,,,,,Baza Impozitare,,Val. TVA,Baza Impozitare,Val. TVA,,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,,
1,Z POS,117,2025-08-01 00:00:00,Z emis la POS nr.103 inchiderea 6187,27035.06,0,0,11635.38,2443.43,,11495.27,1264.48,,0,0,0,0,196.5,0,,
2,Z POS,98,2025-08-01 00:00:00,Z emis la POS nr.102 inchiderea 6188,10111.84,0,0,3924.37,824.12,,4757.97,523.38,,0,0,0,0,82,0,,
3,Z POS,118,2025-08-02 00:00:00,Z emis la POS nr.103 inchiderea 6191,23569.92,0,0,10180.76,2137.96,,9924.95,1091.75,,0,0,0,0,234.5,0,,
4,Z POS,99,2025-08-02 00:00:00,Z emis la POS nr.102 inchiderea 6189,10398.18,0,0,3636.39,763.64,,5329.41,586.24,,0,0,0,0,82.5,0,,
5,Z POS,100,2025-08-03 00:00:00,Z emis la POS nr.102 inchiderea 6190,5787.28,0,0,2156.12,452.78,,2807.55,308.83,,0,0,0,0,62,0,,
6,Z POS,119,2025-08-03 00:00:00,Z emis la POS nr.103 inchiderea 6192,22146.32,0,0,10241.19,2150.65,,8593.68,945.3,,0,0,0,0,215.5,0,,
7,VANZARE RIDICATA,AMT 2499,2025-08-04 00:00:00,Factura Vanzare cu Ridicata,2975,0,0,2458.68,516.32,,0,0,,0,0,0,0,0,0,,
8,Z POS,101,2025-08-04 00:00:00,Z emis la POS nr.102 inchiderea 6193,6680.78,0,0,2788.8,585.65,,2937.23,323.1,,0,0,0,0,46,0,,
9,Z POS,120,2025-08-04 00:00:00,Z emis la POS nr.103 inchiderea 6194,24826.31,0,0,11114.26,2333.99,,10085.19,1109.37,,0,0,0,0,183.5,0,,
10,Z POS,102,2025-08-05 00:00:00,Z emis la POS nr.102 inchiderea 6195,7202.74,0,0,2542.31,533.89,,3668.95,403.59,,0,0,0,0,54,0,,
11,Z POS,121,2025-08-05 00:00:00,Z emis la POS nr.103 inchiderea 6196,23756.46,0,0,10350.39,2173.58,,9945.49,1094,,0,0,0,0,193,0,,
12,Z POS,103,2025-08-06 00:00:00,Z emis la POS nr.102 inchiderea 6197,6130.08,0,0,2362.9,496.21,,2898.17,318.8,,0,0,0,0,54,0,,
13,Z POS,122,2025-08-06 00:00:00,Z emis la POS nr.103 inchiderea 6199,25275.23,0,0,11332,2379.72,,10251.36,1127.65,,0,0,0,0,184.5,0,,
14,Z POS,104,2025-08-07 00:00:00,Z emis la POS nr.102 inchiderea 6198,8506.29,0,0,3211.5,674.42,,4101.68,451.19,,0,0,0,0,67.5,0,,
15,Z POS,123,2025-08-07 00:00:00,Z emis la POS nr.103 inchiderea 6200,21452.76,0,0,8867.52,1862.18,,9530.23,1048.33,,0,0,0,0,144.5,0,,
16,Z POS,105,2025-08-08 00:00:00,Z emis la POS nr.102 inchiderea 6201,7355.79,0,0,3020.4,634.29,,3272.16,359.94,,0,0,0,0,69,0,,
17,Z POS,124,2025-08-08 00:00:00,Z emis la POS nr.103 inchiderea 6202,23457.98,0,0,10469.46,2198.59,,9563,1051.93,,0,0,0,0,175,0,,
18,Z POS,106,2025-08-09 00:00:00,Z emis la POS nr.102 inchiderea 6203,10191.95,0,0,3728.7,783.03,,5034.88,553.84,,0,0,0,0,91.5,0,,
19,Z POS,125,2025-08-09 00:00:00,Z emis la POS nr.103 inchiderea 6204,25597.31,0,0,12137.06,2548.78,,9636.01,1059.96,,0,0,0,0,215.5,0,,
